exam,year,session,date,shift,paper,paper_number,language,pdf_type,answer_key_file,question_paper_file,local_path,page_count,file_size
JEE_MAIN,2026,Session 2,2026-04-05,Shift 2,Paper 1 (B.E./B.Tech),1,English,Question Paper (Master),,2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-05_Shift-2_Question-Paper.pdf,2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-05_Shift-2_Question-Paper.pdf,30,2644036
JEE_MAIN,2026,Session 2,2026-04-06,Shift 1,Paper 1 (B.E./B.Tech),1,English,Question Paper (Master),,2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-06_Shift-1_Question-Paper.pdf,2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-06_Shift-1_Question-Paper.pdf,28,2202415
JEE_MAIN,2026,Session 2,2026-04-06,Shift 2,Paper 1 (B.E./B.Tech),1,English,Question Paper (Master),,2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-06_Shift-2_Question-Paper.pdf,2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-06_Shift-2_Question-Paper.pdf,31,2597034
JEE_MAIN,2026,Session 2,2026-04-08,Shift 2,Paper 1 (B.E./B.Tech),1,English,Question Paper (Master),,2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-08_Shift-2_Question-Paper.pdf,2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-08_Shift-2_Question-Paper.pdf,31,2651238
JEE_MAIN,2026,Session General,2026-04-07,Shift 2,Paper 2,2,English,Final Answer Key,2026\Session-General\Answer-Keys\JEE_Main_2026_Session-General_Paper-2_Final-Answer-Key.pdf,,2026\Session-General\Answer-Keys\JEE_Main_2026_Session-General_Paper-2_Final-Answer-Key.pdf,6,18115
JEE_ADVANCED,2007,,,,Paper 1,1,Bilingual,Question Paper,,2007\Paper-1\Question-Paper\JEE_Advanced_2007_Paper-1.pdf,2007\Paper-1\Question-Paper\JEE_Advanced_2007_Paper-1.pdf,30,2950046
JEE_ADVANCED,2007,,,,Paper 2,2,Bilingual,Question Paper,,2007\Paper-2\Question-Paper\JEE_Advanced_2007_Paper-2.pdf,2007\Paper-2\Question-Paper\JEE_Advanced_2007_Paper-2.pdf,28,2859094
JEE_ADVANCED,2008,,,,Paper 1,1,Bilingual,Question Paper,,2008\Paper-1\Question-Paper\JEE_Advanced_2008_Paper-1.pdf,2008\Paper-1\Question-Paper\JEE_Advanced_2008_Paper-1.pdf,24,3257888
JEE_ADVANCED,2008,,,,Paper 2,2,Bilingual,Question Paper,,2008\Paper-2\Question-Paper\JEE_Advanced_2008_Paper-2.pdf,2008\Paper-2\Question-Paper\JEE_Advanced_2008_Paper-2.pdf,28,3480119
JEE_ADVANCED,2009,,,,Paper 1,1,Bilingual,Question Paper,,2009\Paper-1\Question-Paper\JEE_Advanced_2009_Paper-1.pdf,2009\Paper-1\Question-Paper\JEE_Advanced_2009_Paper-1.pdf,19,3216991
JEE_ADVANCED,2009,,,,Paper 2,2,Bilingual,Question Paper,,2009\Paper-2\Question-Paper\JEE_Advanced_2009_Paper-2.pdf,2009\Paper-2\Question-Paper\JEE_Advanced_2009_Paper-2.pdf,17,2688430
